series,unit,horizon_days,primary,full_r,full_ci_lo,full_ci_hi,full_n,full_p_raw,oos_r,oos_n,oos_p_raw,full_p_bonferroni,primary_survives
PAYEMS,growth_rev,90,True,0.0983202705481413,0.025209734062104656,0.17624760080523916,850,0.004114594322046861,0.22021118846286153,137,0.009717832674696725,0.012343782966140582,True
PAYEMS,rel_level_rev,90,False,0.04415429599012049,-0.005659150340228329,0.08150933066163452,850,0.19842884644030745,0.0702736874138424,137,0.41449707850677076,,False
PAYEMS,growth_rev,365,False,0.0803902519749234,0.00664859382977714,0.1353124463129945,841,0.019720457836075678,0.12936158893051466,137,0.1319124432627441,,False
PAYEMS,rel_level_rev,365,False,0.07585264422946231,-0.08378776023684702,0.19744546612677302,841,0.027833545479970967,0.2427601338108116,137,0.0042593772683152675,,False
RSAFS,growth_rev,90,True,0.015739444037970864,-0.15968353655476825,0.19254891590842976,297,0.7870667319061462,0.012363520173319284,137,0.8859815212735949,1.0,False
RSAFS,rel_level_rev,90,False,-0.0416323746624029,-0.1553042295795134,0.13015041403359098,297,0.474755035911536,0.058593455373025675,137,0.49642875313581647,,False
RSAFS,growth_rev,365,False,0.054892411641725,-0.08582292008716155,0.17856025295026198,287,0.3541462837969005,0.0993222975304534,137,0.24819543786150078,,False
RSAFS,rel_level_rev,365,False,0.1046147699515287,-0.08413084302216704,0.3179598253704225,287,0.07682543797121677,0.03465540693347435,137,0.6876580468064803,,False
INDPRO,growth_rev,90,True,0.056823138698201395,-0.03985105976894997,0.14969463867708738,1188,0.05022239660371475,0.001712899413438941,136,0.9842098576383829,0.15066718981114424,False
INDPRO,rel_level_rev,90,False,0.0004312617938473673,-0.018038574784705205,0.017809215349260634,1188,0.9881527949289994,-0.09808500978641105,136,0.2559391781871114,,False
INDPRO,growth_rev,365,False,-0.07225530900996424,-0.15478996849338364,0.021787918267125023,1179,0.013078962393297866,0.17870634925040216,136,0.0373783617527097,,False
INDPRO,rel_level_rev,365,False,-0.05733157675501772,-0.09846168689893367,-0.013175301180579947,1179,0.04905648239052374,-0.2129044397541391,136,0.01282638246583967,,False
