series,split,train_r,train_n,test_r,test_n
PAYEMS,2005-01-01,0.014321064215420298,593,0.252485616630594,257
PAYEMS,2008-01-01,0.015186876530718764,629,0.2602626508955195,221
PAYEMS,2010-01-01,0.044411770126789964,653,0.23076661048741806,197
PAYEMS,2012-01-01,0.04416930289320628,677,0.23062429464088258,173
PAYEMS,2015-01-01,0.047629682778364074,713,0.22021118846286153,137
PAYEMS,2018-01-01,0.049453488124775125,749,0.22949763596045747,101
PAYEMS,2020-01-01,0.052632550497730336,773,0.22698556385063087,77
RSAFS,2005-01-01,-0.14286461425115757,40,0.023603687009889296,257
RSAFS,2008-01-01,0.011672771963696916,76,0.01574350994421858,221
RSAFS,2010-01-01,0.037234401667438,100,0.010610319116267017,197
RSAFS,2012-01-01,0.08264458750301751,124,0.0014731366917271874,173
RSAFS,2015-01-01,0.02344949996730039,160,0.012363520173319284,137
RSAFS,2018-01-01,-0.004381923650148985,196,0.023629307952025645,101
RSAFS,2020-01-01,-0.01100602462597187,220,0.028879575003126955,77
INDPRO,2005-01-01,0.05838188086345301,932,-0.002116259230269792,256
INDPRO,2008-01-01,0.058048995605597516,968,-0.000986038979889577,220
INDPRO,2010-01-01,0.05849464946440111,992,-0.00867738058246382,196
INDPRO,2012-01-01,0.05849457492580358,1016,-0.009754582821696384,172
INDPRO,2015-01-01,0.05759020839503277,1052,0.001712899413438941,136
INDPRO,2018-01-01,0.05683674721123954,1088,0.015319624128025157,100
INDPRO,2020-01-01,0.05675856394328838,1112,0.02010591989314446,76
