series,metric,subsample,period,value,n
PAYEMS,momentum_r,1,1955-08-01..1979-03-01,0.021762312948194588,284
PAYEMS,momentum_r,2,1979-04-01..2002-10-01,-0.007309862341719491,283
PAYEMS,momentum_r,3,2002-11-01..2026-05-01,0.24509837439078136,283
PAYEMS,pit_gap,1,1955-05-01..1979-01-01,0.15366526629687036,285
PAYEMS,pit_gap,2,1979-02-01..2002-09-01,0.20245961000609886,284
PAYEMS,pit_gap,3,2002-10-01..2026-05-01,-0.004175494384177969,284
RSAFS,momentum_r,1,2001-09-01..2009-11-01,0.03865054906862457,99
RSAFS,momentum_r,2,2009-12-01..2018-02-01,-0.05474380214181142,99
RSAFS,momentum_r,3,2018-03-01..2026-05-01,0.023858871874134182,99
RSAFS,pit_gap,1,2001-06-01..2009-09-01,0.12950317865694227,100
RSAFS,pit_gap,2,2009-10-01..2018-01-01,0.13261231199605433,100
RSAFS,pit_gap,3,2018-02-01..2026-05-01,0.017629432619551282,100
INDPRO,momentum_r,1,1927-05-01..1960-04-01,0.059249671674950585,396
INDPRO,momentum_r,2,1960-05-01..1993-04-01,-0.010497488077228926,396
INDPRO,momentum_r,3,1993-05-01..2026-05-01,0.07356477541006268,396
INDPRO,pit_gap,1,1927-02-01..1960-02-01,0.25277330615076465,397
INDPRO,pit_gap,2,1960-03-01..1993-03-01,0.3183493941687278,397
INDPRO,pit_gap,3,1993-04-01..2026-05-01,0.11269648014016519,397
