event_id,predicted,actual
aducanumab-2021,0.3333333333333333,1.0
lecanemab-2023,0.3333333333333333,1.0
donanemab-2024,0.3333333333333333,1.0
gantenerumab-2022,0.5,0.0
solanezumab-2023,0.5,0.0
crenezumab-2022,0.5,0.0
bapineuzumab-2012,0.5,0.0
eteplirsen-2016,1.0,1.0
golodirsen-2019,1.0,1.0
casimersen-2021,1.0,1.0
srp9001-2023,0.8333333333333334,1.0
valrox-2020,1.0,0.0
hemgenix-2022,0.6666666666666666,1.0
zolgensma-2019,0.6666666666666666,1.0
tirzepatide-2023,0.9,1.0
semaglutide-2021,0.9,1.0
vk2735-2024,0.9,1.0
retatrutide-2023,0.9,1.0
orforglipron-2025,0.9,1.0
resmetirom-2022,0.75,1.0
pegozafermin-2023,0.75,1.0
