term,lag,train_r,train_p_raw,train_n,test_r,test_p_raw,test_n,train_p_bonferroni,test_p_bonferroni,train_survives_bonferroni,test_survives_bonferroni
debt,1,-0.07418854174046394,0.19558173033895843,306,0.002612608964641422,0.9507675978612213,561,1.0,1.0,False,False
debt,2,-0.09004192148223418,0.11659045484810315,305,-0.0607037933409467,0.15102696433717044,561,1.0,1.0,False,False
debt,3,-0.04567144112558682,0.42752011665219825,304,0.00313871790891257,0.9408701221629587,561,1.0,1.0,False,False
stocks,1,0.02930957651190503,0.6031385707670787,317,-0.058032235927778626,0.16987358451724055,561,1.0,1.0,False,False
stocks,2,-0.058407147114985826,0.29988180386031127,317,-0.013231848547474953,0.7544958322856807,561,1.0,1.0,False,False
stocks,3,-0.004051635345811643,0.9427191798858097,317,0.025459016449418177,0.5473335502874941,561,1.0,1.0,False,False
credit,1,-0.028880684973867046,0.6084539842678063,317,0.0006722149027822134,0.987325184222692,561,1.0,1.0,False,False
credit,2,-0.02590043986410108,0.6459472349010795,317,-0.053869047835463105,0.20266649071012122,561,1.0,1.0,False,False
credit,3,0.013916631295218754,0.8050539499072129,317,-0.031578478179479424,0.45538474636545745,561,1.0,1.0,False,False
unemployment,1,0.05795397691265823,0.3036536565833534,317,0.013002147164630261,0.7643541801756557,534,1.0,1.0,False,False
unemployment,2,0.045823994496229765,0.41617378932155624,317,0.06490892708275374,0.1341308634705234,534,1.0,1.0,False,False
unemployment,3,0.03515004676944057,0.5329236528445773,317,0.11999675243868017,0.005495127762267016,534,1.0,0.16485383286801047,False,False
inflation,1,0.009826804457598037,0.8616498786962226,317,0.011794416363181957,0.7804424213861951,561,1.0,1.0,False,False
inflation,2,-0.02150635510420943,0.7028758602268832,317,-0.037686397219738495,0.3729589855888027,561,1.0,1.0,False,False
inflation,3,0.024536135683651084,0.6634221539339729,317,0.03924485877528462,0.3535030875112155,561,1.0,1.0,False,False
recession,1,-0.07090148543695485,0.20804363345347388,317,-0.1413022871754666,0.0007902265457004898,561,1.0,0.023706796371014693,False,True
recession,2,-0.024579474243614608,0.6628641686053691,317,0.020194533260929043,0.633149798894797,561,1.0,1.0,False,False
recession,3,0.007859969658161598,0.8891403102872504,317,0.004317637864594358,0.9187268902609103,561,1.0,1.0,False,False
mortgage,1,-0.05995652301979724,0.28722171225164983,317,-0.054203274737667735,0.19987515829703928,561,1.0,1.0,False,False
mortgage,2,-0.020134286550995563,0.7210163116915895,317,-0.016927832450185788,0.6890994221664464,561,1.0,1.0,False,False
mortgage,3,0.016588708470738147,0.7685996999839557,317,-0.01770652456269639,0.6755931460907396,561,1.0,1.0,False,False
savings,1,-0.028482473341496617,0.6134076757741096,317,-0.028391914616601253,0.502150250588874,561,1.0,1.0,False,False
savings,2,0.03368356113397206,0.5501607817486169,317,-0.052657075241407725,0.21302585384566752,561,1.0,1.0,False,False
savings,3,0.057929503119667006,0.30385824727707567,317,-0.020298105219265828,0.6314075739363303,561,1.0,1.0,False,False
investment,1,0.03485486608682748,0.5363712448672149,317,0.04177639922576166,0.3232914802254674,561,1.0,1.0,False,False
investment,2,-0.09593838578495022,0.08813434150723154,317,-0.05025704629804329,0.23465370692961574,561,1.0,1.0,False,False
investment,3,-0.05817090477693654,0.3018442128912808,317,-0.008127112162878114,0.8476889101246594,561,1.0,1.0,False,False
bankruptcy,1,0.04595165231586191,0.41487502788277375,317,-0.0813456719369249,0.054154011739939945,561,1.0,1.0,False,False
bankruptcy,2,-0.048213729961001324,0.3922591276004881,317,-0.08141476719637496,0.053949268899877056,561,1.0,1.0,False,False
bankruptcy,3,-0.07718537892528426,0.17041746586174522,317,0.020564651012061792,0.6269333003097741,561,1.0,1.0,False,False
